{input difference of the middle part, output mask of the middle part, correlation}

[0x400000, 0x20000, 0x0, 0x80000000, -9.814877599999999], 
[0x400000, 0x20000, 0x2, 0x0, -11.269095799999999], 
[0x400000, 0x20000, 0x4, 0x0, -11.4866964], 
[0x800000, 0x40000, 0x0, 0x1, -10.865841800000002], 
[0x800000, 0x40000, 0x0, 0x2, -9.865710600000002], 
[0x800000, 0x40000, 0x0, 0x4, -11.024958400000001], 
[0x800000, 0x40000, 0x0, 0x8, -9.8303246], 
[0x800000, 0x40000, 0x0, 0x100, -10.762666399999999], 
[0x800000, 0x40000, 0x0, 0x200, -10.894537000000001], 
[0x800000, 0x40000, 0x0, 0x400, -10.896834199999999], 
[0x800000, 0x40000, 0x0, 0x800, -11.676370000000002], 
[0x800000, 0x40000, 0x0, 0x2000, -10.9768842], 
[0x800000, 0x40000, 0x0, 0x8000, -10.832975000000001], 
[0x800000, 0x40000, 0x0, 0x100000, -9.6101624], 
[0x800000, 0x40000, 0x0, 0x200000, -9.325657000000001], 
[0x800000, 0x40000, 0x0, 0x400000, -9.742423599999999], 
[0x800000, 0x40000, 0x0, 0x800000, -10.0620918], 
[0x800000, 0x40000, 0x0, 0x10000000, -11.4650774], 
[0x800000, 0x40000, 0x0, 0x20000000, -11.2055948], 
[0x800000, 0x40000, 0x2000000, 0x0, -11.555399399999999], 
[0x1000000, 0x80000, 0x0, 0x100000, -10.9911224], 
[0x1000000, 0x80000, 0x0, 0x200000, -10.370997800000001], 
[0x1000000, 0x80000, 0x0, 0x400000, -11.3160688], 
[0x1000000, 0x80000, 0x1000, 0x0, -12.0616514], 
[0x2000000, 0x100000, 0x0, 0x1, -9.031294200000001], 
[0x2000000, 0x100000, 0x0, 0x2, -8.931828999999999], 
[0x2000000, 0x100000, 0x0, 0x4, -8.982082799999999], 
[0x2000000, 0x100000, 0x0, 0x8, -9.808173], 
[0x2000000, 0x100000, 0x0, 0x20, -11.563150799999999], 
[0x2000000, 0x100000, 0x0, 0x80, -11.4586948], 
[0x2000000, 0x100000, 0x0, 0x1000, -11.141598], 
[0x2000000, 0x100000, 0x0, 0x2000, -10.8520122], 
[0x2000000, 0x100000, 0x0, 0x8000, -10.9978826], 
[0x2000000, 0x100000, 0x0, 0x1000000, -9.452511600000001], 
[0x2000000, 0x100000, 0x0, 0x2000000, -8.991372199999999], 
[0x2000000, 0x100000, 0x0, 0x4000000, -9.6170322], 
[0x2000000, 0x100000, 0x0, 0x8000000, -9.3112162], 
[0x2000000, 0x100000, 0x20000000, 0x0, -11.054078200000001], 
[0x4000000, 0x200000, 0x0, 0x1, -8.7009176], 
[0x4000000, 0x200000, 0x0, 0x2, -8.7551624], 
[0x4000000, 0x200000, 0x0, 0x4, -8.775608799999999], 
[0x4000000, 0x200000, 0x0, 0x8, -9.710736], 
[0x4000000, 0x200000, 0x0, 0x200, -11.265029199999999], 
[0x4000000, 0x200000, 0x0, 0x8000, -11.187622200000002], 
[0x4000000, 0x200000, 0x0, 0x1000000, -9.735967800000001], 
[0x4000000, 0x200000, 0x0, 0x2000000, -9.2243184], 
[0x4000000, 0x200000, 0x0, 0x4000000, -9.8797936], 
[0x4000000, 0x200000, 0x0, 0x8000000, -9.418158], 
[0x4000000, 0x200000, 0x20000000, 0x0, -11.334637599999999], 
[0x8000000, 0x400000, 0x0, 0x1, -11.517762399999999], 
[0x8000000, 0x400000, 0x0, 0x2, -11.556542799999999], 
[0x8000000, 0x400000, 0x0, 0x4, -11.165140000000001], 
[0x8000000, 0x400000, 0x0, 0x8, -11.822707], 
[0x8000000, 0x400000, 0x0, 0x10, -10.8267846], 
[0x8000000, 0x400000, 0x0, 0x20, -9.7926324], 
[0x8000000, 0x400000, 0x0, 0x40, -11.025326799999998], 
[0x8000000, 0x400000, 0x0, 0x80, -9.735022], 
[0x8000000, 0x400000, 0x0, 0x1000, -10.9443244], 
[0x8000000, 0x400000, 0x0, 0x2000, -10.3960174], 
[0x8000000, 0x400000, 0x0, 0x4000, -10.8969922], 
[0x8000000, 0x400000, 0x0, 0x20000, -11.029304400000001], 
[0x8000000, 0x400000, 0x0, 0x40000, -11.685878599999999], 
[0x8000000, 0x400000, 0x0, 0x80000, -11.0296226], 
[0x8000000, 0x400000, 0x0, 0x1000000, -9.7140626], 
[0x8000000, 0x400000, 0x0, 0x2000000, -9.411598600000001], 
[0x8000000, 0x400000, 0x0, 0x4000000, -9.6784568], 
[0x8000000, 0x400000, 0x0, 0x8000000, -10.132144399999998], 
[0x10000000, 0x800000, 0x0, 0x2000, -12.1348402], 
[0x10000000, 0x800000, 0x0, 0x2000000, -10.8395848], 
[0x10000000, 0x800000, 0x0, 0x4000000, -10.8122516], 
[0x10000000, 0x800000, 0x0, 0x8000000, -11.280254600000001], 
[0x20000000, 0x1000000, 0x0, 0x10, -8.817299], 
[0x20000000, 0x1000000, 0x0, 0x20, -8.864832799999999], 
[0x20000000, 0x1000000, 0x0, 0x40, -8.960912200000001], 
[0x20000000, 0x1000000, 0x0, 0x80, -9.8685766], 
[0x20000000, 0x1000000, 0x0, 0x200, -11.4094186], 
[0x20000000, 0x1000000, 0x0, 0x20000, -10.6596868], 
[0x20000000, 0x1000000, 0x0, 0x80000, -11.165031], 
[0x20000000, 0x1000000, 0x0, 0x10000000, -9.6567096], 
[0x20000000, 0x1000000, 0x0, 0x20000000, -9.006209000000002], 
[0x20000000, 0x1000000, 0x0, 0x40000000, -9.6376484], 
[0x20000000, 0x1000000, 0x0, 0x80000000, -9.3444222], 
[0x20000000, 0x1000000, 0x4, 0x0, -11.5816744], 
[0x20000000, 0x1000000, 0x200, 0x0, -11.625461399999999], 
[0x40000000, 0x2000000, 0x0, 0x10, -8.602357600000001], 
[0x40000000, 0x2000000, 0x0, 0x20, -8.6100382], 
[0x40000000, 0x2000000, 0x0, 0x40, -8.683443800000001], 
[0x40000000, 0x2000000, 0x0, 0x80, -9.7447978], 
[0x40000000, 0x2000000, 0x0, 0x800, -11.775865], 
[0x40000000, 0x2000000, 0x0, 0x1000, -11.218197999999997], 
[0x40000000, 0x2000000, 0x0, 0x2000, -11.4848084], 
[0x40000000, 0x2000000, 0x0, 0x4000, -11.2201324], 
[0x40000000, 0x2000000, 0x0, 0x10000000, -9.7439366], 
[0x40000000, 0x2000000, 0x0, 0x20000000, -9.3979712], 
[0x40000000, 0x2000000, 0x0, 0x40000000, -9.8342012], 
[0x40000000, 0x2000000, 0x0, 0x80000000, -9.319785], 
[0x40000000, 0x2000000, 0x4, 0x0, -11.9923428], 
[0x40000000, 0x2000000, 0x200, 0x0, -10.941475399999998], 
[0x40000000, 0x2000000, 0x800, 0x0, -11.302079800000001], 
[0x80000000, 0x4000000, 0x0, 0x10, -11.6906474], 
[0x80000000, 0x4000000, 0x0, 0x20, -11.310730799999998], 
[0x80000000, 0x4000000, 0x0, 0x100, -10.6318394], 
[0x80000000, 0x4000000, 0x0, 0x200, -9.604949000000001], 
[0x80000000, 0x4000000, 0x0, 0x400, -10.953493], 
[0x80000000, 0x4000000, 0x0, 0x800, -9.6499094], 
[0x80000000, 0x4000000, 0x0, 0x1000, -11.964874400000001], 
[0x80000000, 0x4000000, 0x0, 0x10000, -10.925591800000001], 
[0x80000000, 0x4000000, 0x0, 0x20000, -10.411959800000002], 
[0x80000000, 0x4000000, 0x0, 0x40000, -10.783940999999999], 
[0x80000000, 0x4000000, 0x0, 0x200000, -10.8026654], 
[0x80000000, 0x4000000, 0x0, 0x400000, -11.3760802], 
[0x80000000, 0x4000000, 0x0, 0x800000, -10.855663999999999], 
[0x80000000, 0x4000000, 0x0, 0x10000000, -9.6840228], 
[0x80000000, 0x4000000, 0x0, 0x20000000, -9.5405434], 
[0x80000000, 0x4000000, 0x0, 0x40000000, -9.6687896], 
[0x80000000, 0x4000000, 0x0, 0x80000000, -10.1566408], 
[0x1, 0x8000000, 0x0, 0x10000000, -11.046966200000002], 
[0x1, 0x8000000, 0x0, 0x20000000, -10.588655200000002], 
[0x2, 0x10000000, 0x0, 0x1, -9.703994], 
[0x2, 0x10000000, 0x0, 0x2, -9.024955600000002], 
